snapped_at,price,market_cap,total_volume
2025-01-04 00:00:00 UTC,0.9895663947565508,3144502270.651234,103974.02018347176
2025-01-05 00:00:00 UTC,0.9895663947565508,3144502270.651234,103974.02018347176
2025-01-06 00:00:00 UTC,0.8296409743864834,2634474207.6312346,91010.52736374682
2025-01-07 00:00:00 UTC,0.7822007396677623,2483370824.4429173,74962.07907522116
2025-01-08 00:00:00 UTC,0.6785043296676894,2153580960.4329295,1590190.4223121686
2025-01-09 00:00:00 UTC,0.6944613057973744,2208375086.1350756,2061300.9714512692
2025-01-10 00:00:00 UTC,0.6449468952958732,2054653573.5965073,1325714.4077278837
2025-01-11 00:00:00 UTC,0.7159651099285065,2273888428.974842,6310963.389830855
2025-01-12 00:00:00 UTC,0.7125370761521489,2278404101.2432613,3245160.1280479818
2025-01-13 00:00:00 UTC,0.696952754537699,2211265154.790221,3259113.018373738
2025-01-14 00:00:00 UTC,0.6737672118584301,2139057504.242491,4863292.167781846
2025-01-15 00:00:00 UTC,0.7057831820534723,2236081155.2793264,4673328.431238331
2025-01-16 00:00:00 UTC,0.8275476691593561,2627264832.9695883,36109878.63649673
2025-01-17 00:00:00 UTC,0.7799842065743818,2474478324.7914376,153256715.35112628
2025-01-18 00:00:00 UTC,0.7804720864634955,2486303053.017421,124864558.00789243
2025-01-19 00:00:00 UTC,0.6790693702746112,2155212886.4560347,140845236.26686287
2025-01-20 00:00:00 UTC,0.5634869378395773,1788476280.851267,114571371.90097192
2025-01-21 00:00:00 UTC,0.5159721873896381,1641259838.417222,194946965.63924736
2025-01-22 00:00:00 UTC,0.6055527476019621,1919468412.2276893,313658490.45128965
2025-01-23 00:00:00 UTC,0.6001190915064046,1905764103.0256236,154606012.59850287
2025-01-24 00:00:00 UTC,0.5812040198427959,1846908282.2731721,173194967.53340113
2025-01-25 00:00:00 UTC,0.5326404103054392,1690082838.382722,165043395.1218379
2025-01-26 00:00:00 UTC,0.5378109458264798,1710994246.8920772,129501795.27687092
2025-01-27 00:00:00 UTC,0.5149030493052967,1634547146.5572445,90732981.4126804
2025-01-28 00:00:00 UTC,0.4905800695332371,1555503637.9048443,172797688.95968425
2025-01-29 00:00:00 UTC,0.440176456566535,1397562916.6317365,105613044.27148832
2025-01-30 00:00:00 UTC,0.4870432458844284,1546359321.5657794,137143049.11373547
2025-01-31 00:00:00 UTC,0.5184016855683948,1648256148.4856544,140883214.41283748
2025-02-01 00:00:00 UTC,0.5654471581255276,1794909025.8862116,216249195.36478823
2025-02-02 00:00:00 UTC,0.4919763234482581,1562061296.3912137,116045529.7562038
2025-02-03 00:00:00 UTC,0.45700881688688705,1442623718.5177288,174771955.8109539
2025-02-04 00:00:00 UTC,0.4690136024791674,1489249335.765575,246577502.8897875
2025-02-05 00:00:00 UTC,0.43676634845401685,1386994690.703965,127994231.45025022
2025-02-06 00:00:00 UTC,0.43923173384707365,1394612797.709695,93640621.03774628
2025-02-07 00:00:00 UTC,0.42431437414866086,1343067484.5728393,121719016.1199388
2025-02-08 00:00:00 UTC,0.3947968520315451,1253267611.0679483,98710401.51466744
2025-02-09 00:00:00 UTC,0.41404873727019753,1316069641.367296,96211119.09512156
2025-02-10 00:00:00 UTC,0.41015442978727085,1301240120.277359,70009158.48846458
2025-02-11 00:00:00 UTC,0.4357924737578333,1383552949.0100448,95128745.26597
2025-02-12 00:00:00 UTC,0.45268193930547557,1438376392.184857,104260962.75522941
2025-02-13 00:00:00 UTC,0.5548401115280162,1757269303.0299072,222400617.04236794
2025-02-14 00:00:00 UTC,0.5336631986153769,1694736494.924633,197381549.2799528
